"ID","validFrom","validTo","longitude","latitude","name","description","image","number","orderBy","isKidFriendly","isElderlyFriendly","isStrollerFriendly","hasVisited","hasToilet","hasFood","myAdjacentStamp","targetForAdjacentStamp","Stampings","groupFilterStampings","groupSize","totalGroupStampings","stampedUserIds","stampedUsers"
"5bef5245-62af-4868-8586-77c5f6ce50f2","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.307680000000005","51.6854","Landschaftspark Degenershausen","Landschaftspark Degenershausen ~ this will come later: make a get request",,"202","202",,,,,,,,,,,,,,
"36bf6521-a867-4d52-9d69-b9785a62e8fa","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.347999999999956","51.714","Konradsburg","Konradsburg ~ this will come later: make a get request",,"201","201",,,,,,,,,,,,,,
"393a559a-d7a0-4971-ae60-e2b7c9a16fbd","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.265949999999975","51.6818","Burg Falkenstein","Burg Falkenstein ~ this will come later: make a get request",,"200","200",,,,,,,,,,,,,,
"c36821de-ddd2-42df-b418-264b45c64bc8","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.258789999999976","51.71425","Bismarckturm","Bismarckturm ~ this will come later: make a get request",,"199","199",,,,,,,,,,,,,,
"4f6c1909-1b45-433f-ac11-959397f3e116","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.858050000000048","51.51768","Glockensteine","Glockensteine ~ this will come later: make a get request",,"198","198",,,,,,,,,,,,,,
"7561f72d-d560-4a26-88eb-74b1c3db2a07","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.193179999999984","51.66807","Burgruine Anhalt","Burgruine Anhalt ~ this will come later: make a get request",,"197","197",,,,,,,,,,,,,,
"b072e6f5-c857-4d7b-bf9c-21b922258260","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.112319999999954","51.68493","Bremer Teich","Bremer Teich ~ this will come later: make a get request",,"196","196",,,,,,,,,,,,,,
"f3a83e04-181f-41fa-813f-854dd9d1a5c9","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.126269999999977","51.6609","Köthener Hütte","Köthener Hütte ~ this will come later: make a get request",,"195","195",,,,,,,,,,,,,,
"b3173e89-bc45-4079-a5c1-7d31bfc336c0","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.08132999999998","51.61791","Hellergrund","Hellergrund ~ this will come later: make a get request",,"194","194",,,,,,,,,,,,,,
"0deda842-f7b9-40f6-a0e6-f5492cc4d0a5","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.136719999999968","51.60795","Stahlquelle","Stahlquelle ~ this will come later: make a get request",,"193","193",,,,,,,,,,,,,,
